num,fire,CFI1,CFI2,Fire.type,ROS,SFC,SFC.CLS,SFC.LF,CFC,Fire.intensity,Date,MC.SA,MC.SA_season,MC.SA_dens,MC.SA_stand,FSG1,FSG2,FMC,SH,ws,FFMC,ISI,DMC,DC,BUI,FWI,ExpProject,MC.FFMC,Site,T,RH,EFFM,Plot.sz,Plot.lg,Ig.time,Ig.type,Site.Lat,Site.Long,Site.elev,Grass.Cure
88,PNFI RP EXP FIRE (R2),0,NA,S,0.9,1.39,2,0,0,375,1962-07-06,12.29524904,2,3,4,7,NA,96,12,13,89.9,8.1,47,231,63,22,PNFI (RP),10.93654618,6,NA,NA,NA,523,23,NA,L,46,-77.45,156,NA
89,PNFI RP EXP FIRE (C2),0,NA,S,1.2,1.35,2,0,0,486,1966-07-27,12.70984857,2,3,4,8,NA,101,15,11,89.5,7.1,50,388,76,22,PNFI (RP),11.36107383,6,NA,NA,NA,1859,61,NA,L,46,-77.45,156,NA
90,DARWIN LAKE #1,0,NA,S,0.6,0.99,1,0,0,180,1974-07-23,12.68565189,2,1,4,5.89,NA,109.6952,12.76,6.3,88.7,4.9,15,143,24,9,Darwin Lk (JP),12.21700405,2,26.5,48,7,10000,100,15:30,LN,59.31,-111.04,246,NA
91,DARWIN LAKE #2,0,NA,S,0.9,2.39,3,0,0,645,1974-08-02,10.15801388,2,1,4,6.21,NA,117.7792,13.7,8.5,90.3,6.9,28,214,42,14,Darwin Lk (JP),10.51428571,2,27,39,5,10000,100,13:35,LN,59.31,-111.04,246,NA
92,DARWIN LAKE #3,0,NA,S,1,1.99,2,0,0,600,1974-07-24,14.49776698,2,2,4,4.75,NA,110.7628,10.25,14.8,89,7.8,18,151,28,15,Darwin Lk (JP),11.89494949,2,24.5,45,11,10000,100,15:30,LN,59.31,-111.04,246,NA
93,PNFI RED AND WHITE PINE B1P3,0,NA,S,0.5,2.54,3,0,0,381,1960-08-11,8.694362967,2,1,4,7.36,NA,120,14.6,12,90.9,8.9,46,342,69,24,PNFI (WRP),9.885106383,6,NA,38,5,558,18,NA,LN,46,-77.45,156,NA
94,PNFI RED AND WHITE PINE B1P4,0,NA,S,1.6,3.07,3,0,0,1474,1960-08-19,6.870682714,2,1,4,7.36,NA,120,14.6,8.4,92.8,8.7,65,404,93,28,PNFI (WRP),7.925410374,6,NA,30,5,1115,37,NA,LN,46,-77.45,156,NA
95,PNFI RED AND WHITE PINE B2P3,0,NA,S,0.5,1.93,2,0,0,290,1960-08-10,11.56971276,2,2,4,12.95,NA,120,25,6.2,89.6,5.5,42,334,64,15,PNFI (WRP),11.25472837,6,NA,38,10,558,18,NA,LN,46,-77.45,156,NA
96,PNFI RED AND WHITE PINE B2P4,0,NA,S,0.9,2.34,3,0,0,632,1960-08-19,7.62827429,2,2,4,12.95,NA,120,25,8.4,92.8,8.7,65,404,93,28,PNFI (WRP),7.925410374,6,NA,30,10,1115,37,NA,LN,46,-77.45,156,NA
97,SHARPSAND-SEMIM14,0,NA,S,2.1,2.18,3,0.1776938,0.016,1385,1988-05-25,11.39693262,1,3,4,5.3,NA,85.3024,12.8,10,88.9,6,33.7,110,38.1,13.2,Sharpsand SM (JP),12.00215633,10,NA,NA,NA,50000,224,NA,L,46.79,-83.32,362,NA
98,SHARPSAND-SEMIM15,0,NA,S,2.1,2.6,3,0.1776938,0.016,1650,1988-06-02,11.74895231,1.5,3,4,5.3,NA,85.3024,12.8,9,89.5,6.3,42.4,153,50.1,15.9,Sharpsand SM (JP),11.36107383,10,NA,NA,NA,50000,224,NA,L,46.79,-83.32,362,NA
99,SHARPSAND-SEMIM16,0,NA,S,3.5,3.11,3,0.1776938,0.203,3473,1988-06-03,9.425782443,1.5,3,4,5.3,NA,85.4725,12.8,9,91.3,8.1,46.7,161,54.1,20,Sharpsand SM (JP),9.468435013,10,NA,NA,NA,50000,224,NA,L,46.79,-83.32,362,NA
100,SHARPSAND-SEMIM17,1,NA,PC,5.4,3.58,3,0.1776938,0.39,6425,1988-06-04,8.014186494,1.5,3,4,5.3,NA,85.6804,12.8,10,92.4,10,51.9,169,58.7,24.4,Sharpsand SM (JP),8.333903884,10,NA,NA,NA,50000,224,NA,L,46.79,-83.32,362,NA
101,SHARPSAND-SEMIM18,1,NA,PC,4.6,2.87,3,0.1776938,0.203,4231,1990-06-01,10.64486074,1,3,4,5.3,NA,85.0756,12.8,16,89.9,9.4,31.5,78,31.5,17.8,Sharpsand SM (JP),10.93654618,10,NA,NA,NA,50000,224,NA,L,46.79,-83.32,362,NA
102,SHARPSAND-SEMIM19,1,NA,PC,5.1,2.02,3,0.1776938,0.39,3678,1991-06-07,8.320311025,1.5,3,4,5.3,NA,86.2096,12.8,13,92.2,10.9,49.4,161,55.9,25,Sharpsand SM (JP),8.538958471,10,NA,NA,NA,50000,224,NA,L,46.79,-83.32,362,NA
103,SHARPSAND-SEMIM20,0,NA,S,0.8,1.39,2,0.1776938,0.016,336,1991-06-13,11.48779764,1.5,3,4,5.3,NA,88.7044,12.8,10,88.6,5.7,70.2,205,75.6,18.5,Sharpsand SM (JP),12.32464551,10,NA,NA,NA,50000,224,NA,L,46.79,-83.32,362,NA
104,PNFI RW EXP FIRE #RW2A ONT,0,NA,S,0.7,0.95,1,0,0,200,1963-06-26,9.980098284,2,2,4,13.26,NA,100.5,25,13,90.7,9,52,248,69,24,PNFI (WRP),10.0942743,6,NA,NA,NA,NA,NA,NA,LN,46,-77.45,156,NA
105,PNFI RW EXP FIRE #RW3 ONT,0,NA,S,1.3,2,2,0,0,780,1963-07-02,11.74829906,2,2,4,13.26,NA,103,25,23,87.8,9.8,76,299,93,30,PNFI (WRP),13.1910387,6,NA,NA,NA,NA,NA,NA,LN,46,-77.45,156,NA
106,PNFI RW EXP FIRE #RW4 ONT,0,NA,S,1.6,1.22,2,0,0,586,1963-07-25,9.684655943,2,2,4,13.26,NA,112.5,25,11,91.2,9,48,380,73,25,PNFI (WRP),9.572395488,6,NA,NA,NA,NA,NA,NA,LN,46,-77.45,156,NA
107,PNFI RW EXP FIRE #RW5B ONT,0,NA,S,0.4,2.87,3,0,0,344,1964-07-27,9.472369861,2,2,4,13.26,NA,113.5,25,5,90.4,7.4,76,443,107,27,PNFI (WRP),10.40907272,6,NA,NA,NA,NA,NA,NA,LN,46,-77.45,156,NA
108,BIG FISH LK PROJECT EXP FIRE P06 A,0,NA,S,0.5,1.1,2,0,0,165,1985-07-14,19.79972783,2,1,5,0.71,NA,94.15,3.1,13,80,2.3,20,238,32,5,Bigfish Lk & Other (BS),22.15914,1,NA,NA,NA,NA,NA,NA,L,59.2,-116,835,NA
109,Pelican Mountain PCtrl,1,NA,AC,56,1.45,2,0,1.15,NA,2019-05-11,6.856578188,1,2,5,2.08,NA,79,4.6,12,93.6,13.06,46,339,70,NA,Pelican Mt (BS),7.114826911,13,22.2,18.7,7,12000,50,17:49,L,56.71,-113.57,635,NA
110,Pelican Mountain PTrt,1,NA,AC,51,1.73,2,0,0.47,NA,2019-05-11,6.304347798,1,1,5,4.15,NA,79,6.2,12,93.6,13.06,46,339,70,NA,Pelican Mt (BS),7.114826911,13,22.2,18.7,2,24000,70,17:50,AC,56.71,-113.57,635,NA
111,PNFI RP EXP FIRE (C1),0,NA,S,1,1.03,2,0,0,309,1966-09-01,15.56435,2,3,4,8,NA,108,15,5,88.6,4.5,32,386,53,13,PNFI (RP),12.325,6,NA,NA,NA,1859,61,NA,L,46,-77.45,156,NA
112,PNFI RP EXP FIRE (C7),0,NA,S,3,0.55,1,0,0,495,1971-06-01,8.536604,1.5,3,4,9,NA,91,16,10,92.6,10.1,35,122,41,20,PNFI (RP),8.129,6,NA,NA,NA,1859,61,NA,L,46,-77.45,156,NA
113,PNFI RP EXP FIRE (C8),0,NA,S,1.1,2.14,3,0,0,706,1971-07-12,10.92489,2,3,4,9,NA,98,16,10,90.7,7.7,51,259,68,22,PNFI (RP),10.094,6,NA,NA,NA,1859,61,NA,L,46,-77.45,156,NA
114,L DEWDROP/AH JOHNSON EXP FIRE 1,0,NA,S,1.5,0.6908,NA,0,0,NA,1978-05-05,9.531,1,1,2,NA,NA,NA,NA,10.4,82,2.41,29,102,34,6,Lower Dewdrop,19.77,14,15,25,NA,NA,NA,14:34D,NA,50.76,-120.624,670,58
115,L DEWDROP/AH JOHNSON EXP FIRE 2,0,NA,S,1.46,0.2774,NA,0,0,NA,1978-05-18,8.747,1,1,2,NA,NA,NA,NA,7.4,84,2.67,30,152,40,7,Lower Dewdrop,17.44,14,20.6,23,NA,NA,NA,13:25D,NA,50.76,-120.624,670,62
116,L DEWDROP/AH JOHNSON EXP FIRE 3,0,NA,S,1.95,0.9475,NA,0,0,NA,1979-06-06,4.607,1.5,1,2,NA,NA,NA,NA,7.4,92.5,8.88,94,273,101,29,Lower Dewdrop,8.23,14,24,27,NA,NA,NA,13:52D,NA,50.76,-120.624,670,72
117,L DEWDROP/AH JOHNSON EXP FIRE 4,0,NA,S,2.2,1.2607,NA,0,0,NA,1978-06-21,5.726,2,1,2,NA,NA,NA,NA,19.2,91.5,13.97,76,356,99,39,Lower Dewdrop,9.26,14,25.5,35,NA,NA,NA,13:20D,NA,50.76,-120.624,670,66
118,L DEWDROP/AH JOHNSON EXP FIRE 5,0,NA,S,1.1,1.1286,NA,0,0,NA,1978-07-05,6.92,2,1,2,NA,NA,NA,NA,14.8,89,7.83,106,465,135,30,Lower Dewdrop,11.89,14,24,44,NA,NA,NA,11:35D,NA,50.76,-120.624,670,60
119,L DEWDROP/AH JOHNSON EXP FIRE 6,0,NA,S,1.6,0.6744,NA,0,0,NA,1978-08-01,6.956,2,1,2,NA,NA,NA,NA,19.2,89,9.77,102,649,146,36,Lower Dewdrop,11.89,14,26.7,33,NA,NA,NA,10:45D,NA,50.76,-120.624,670,72
120,L DEWDROP/AH JOHNSON EXP FIRE 8,0,NA,S,2.1,NA,NA,0,0,NA,1980-06-12,8.3,1.5,1,2,NA,NA,NA,NA,16.3,89,8.44,24,365,40,17,Lower Dewdrop,11.89,14,NA,NA,NA,NA,NA,14:20D,NA,50.76,-120.624,670,NA
121,L DEWDROP/AH JOHNSON EXP FIRE 9,0,NA,S,3,5.33,3,0,0,NA,1979-09-17,9.739,3,1,2,NA,NA,NA,NA,9.6,89,6.03,56,794,96,22,Lower Dewdrop,11.89,14,24,45,NA,NA,NA,16:30D,NA,50.76,-120.624,670,NA
