num,fire,CFI1,CFI2,Fire.type,ROS,SFC,SFC.CLS,SFC.LF,CFC,Fire.intensity,Date,MC.SA,MC.SA_season,MC.SA_dens,MC.SA_stand,FSG1,FSG2,FMC,SH,ws,FFMC,ISI,DMC,DC,BUI,FWI,ExpProject,MC.FFMC,Site,T,RH,EFFM,Plot.sz,Plot.lg,Ig.time,Ig.type,Site.Lat,Site.Long,Site.elev,Grass.Cure
20,SHARPSAND THINNED EXP FIRE #08 ONT,0,NA,S,3.6,1.53,2,0.03148623,0,1652,1976-06-28,12.23403478,2,2,4,4.28,NA,102.08,8.6,14,89,7.5,41,210,55,19,Sharpsand TH (JP),11.89494949,10,22,39,8,4000,100,NA,L,46.79,-83.32,368,NA
21,SHARPSAND THINNED EXP FIRE #09 ONT,0,NA,S,1.3,1.15,2,0.03148623,0,449,1976-07-05,7.29968561,2,2,4,4.28,NA,110.7628,8.6,8,94.1,11.4,38,213,53,25,Sharpsand TH (JP),6.6125,10,30.5,23,6,4000,100,NA,L,46.79,-83.32,368,NA
22,SHARPSAND THINNED EXP FIRE #10 ON,1,NA,PC,2.6,1.18,2,0.04193626,0.49,1303,1976-07-06,7.877204777,2,2,4,4.28,NA,111.7728,8.6,15,93.3,14.6,43,222,58,31,Sharpsand TH (JP),7.417801047,10,29,35,8,4000,100,NA,L,46.79,-83.32,368,NA
23,SHARPSAND THINNED EXP FIRE #15 ON,1,NA,PC,2.6,0.83,1,0.04748186,0.22,819,1981-07-11,9.829063159,2,2,4,4.78,NA,115.2368,9.1,14,91.2,10.4,45,170,54,24,Sharpsand TH (JP),9.572395488,10,29,37,8,4000,100,NA,L,46.79,-83.32,368,NA
24,SHARPSAND EXP FIRE #16 ONT PART-TH,0,NA,S,1,1.02,2,0.20334023,0.08,330,1981-07-12,15.35913,2,3,4,4.78,NA,115.9588,9.1,9,87.9,5,47,179,57,14,Sharpsand IM (JP),13.08222524,10,26,65,11,4000,100,NA,L,46.79,-83.32,368,NA
25,PRINCE GEORGE EXP FIRE # 124 BC,0,NA,S,0.9,0.53,1,0,0,154,1970-06-17,7.921487416,2,2,4,9.76,NA,90.4621,20.1,8.1,92.5,9.2,64,161,64,24,PG (LP),8.231578947,5,25.6,14,5,232,15.2,NA,LN,54.42,-122.63,749,NA
26,PRINCE GEORGE EXP FIRE # 123 BC,0,NA,S,1.2,0.28,1,0,0,119,1970-06-18,8.264252494,2,2,4,9.76,NA,91.1236,20.1,12.9,92,10.9,68,168,68,28,PG (LP),8.744554455,5,22.8,14,5,232,15.2,NA,LN,54.42,-122.63,749,NA
27,PRINCE GEORGE EXP FIRE # 119 BC,0,NA,S,2,1.24,2,0,0,762,1970-06-19,7.296482842,2,2,4,9.76,NA,91.8229,20.1,9.7,93,10.7,72,175,72,28,PG (LP),7.721967213,5,26.1,21,6,232,15.2,NA,LN,54.42,-122.63,749,NA
28,PRINCE GEORGE EXP FIRE # 120 BC,0,NA,S,1,0.19,1,0,0,69,1970-06-20,7.633459472,2,2,4,9.76,NA,92.56,20.1,6.4,92.5,8.4,77,183,77,24,PG (LP),8.231578947,5,27.8,15,5,232,15.2,NA,LN,54.42,-122.63,749,NA
29,PRINCE GEORGE EXP FIRE # 430 BC,0,NA,S,0.9,0.19,1,0,0,62,1970-07-05,9.660937957,2,1,4,6.71,NA,108.57,14.4,6.4,90.5,6.4,33,215,47,15,PG (LP),10.304,5,22.2,22,6,232,15.2,NA,LN,54.42,-122.63,749,NA
30,PRINCE GEORGE EXP FIRE # 433 BC,0,NA,S,1.1,0.41,1,0,0,149,1970-07-12,8.319458419,2,1,4,6.71,NA,115.2368,14.4,6.4,91,6.8,54,264,72,20,PG (LP),9.780730897,5,22.2,16,5,232,15.2,NA,LN,54.42,-122.63,749,NA
31,PRINCE GEORGE EXP FIRE # 431 BC,0,NA,S,1.2,0.56,1,0,0,220,1970-07-13,8.188555422,2,1,4,6.71,NA,115.9588,14.4,9.7,91,8.1,58,271,76,24,PG (LP),9.780730897,5,23.3,18,5,232,15.2,NA,LN,54.42,-122.63,749,NA
32,PRINCE GEORGE EXP FIRE # 432 BC,0,NA,S,1.1,1.15,2,0,0,396,1970-07-14,8.378666559,2,1,4,6.71,NA,116.6232,14.4,6.4,90.5,6.4,62,279,79,20,PG (LP),10.304,5,24.4,26,7,232,15.2,NA,LN,54.42,-122.63,749,NA
33,SHARPSAND EXP FIRE #02 ONT,1,NA,AC,10.7,0.66,1,0.2997859,0.89,4976,1975-06-26,14.99593227,2,3,4,4.33,NA,98.7781,8.6,11,89.4,6.8,25,73,27,12,Sharpsand IM (JP),11.46756212,10,25.5,40,9,4000,100,NA,L,46.79,-83.32,368,NA
34,SHARPSAND EXP FIRE #03 ONT,1,NA,AC,16.9,0.91,1,0.1509602,1.16,10495,1975-06-26,14.82317496,2,3,4,4.21,NA,98.7781,8.5,16,89.5,8.9,25,73,27,15,Sharpsand IM (JP),11.36107383,10,25.5,40,9,4000,100,NA,L,46.79,-83.32,368,NA
35,SHARPSAND EXP FIRE #04 ONT,1,NA,AC,14.3,0.92,1,0.6416605,0.99,8194,1975-06-27,14.64825693,2,3,4,4.28,NA,99.8176,8.5,14,89.4,8,28,82,30,15,Sharpsand IM (JP),11.46756212,10,27,52,10,4000,100,NA,L,46.79,-83.32,368,NA
36,SHARPSAND EXP FIRE #05 ONT,1,NA,AC,14.6,1.33,2,0.391965,1.27,11388,1975-06-30,9.042960973,2,3,4,4.27,NA,103.4932,8.4,10,92.3,9.8,44,108,44,21,Sharpsand IM (JP),8.436363636,10,30.5,33,8,4000,100,NA,L,46.79,-83.32,368,NA
37,SHARPSAND EXP FIRE #06 ONT,1,NA,AC,14.6,1.16,2,0.2787014,1.06,9724,1975-07-01,10.51033183,2,3,4,4.29,NA,104.8488,8.8,11,91.1,8.7,48,117,48,20,Sharpsand IM (JP),9.676494024,10,29.5,48,10,4000,100,NA,L,46.79,-83.32,368,NA
38,SHARPSAND EXP FIRE #07 ONT,0,NA,S,2.1,0.95,1,0.3032916,0,599,1976-06-04,8.89823603,1.5,3,4,4.34,NA,85.6804,8.7,6,92.1,7.8,39,100,40,16,Sharpsand IM (JP),8.641688654,10,27,30,8,4000,100,NA,L,46.79,-83.32,368,NA
