"","num","fire","CFI1","Fire.type","ROS","SFC","SFC.CLS","SFC.LF","CFC","Fire.intensity","Date","MC.SA","MC.SA_season","MC.SA_dens","MC.SA_stand","FSG1","FSG2","FMC","SH","ws","FFMC","ISI","DMC","DC","BUI","FWI","ExpProject","MC.FFMC","Site","T","RH","Grass.Cure","Plot.Wd","isi.m","FT","CF"
"21",38,"SHARPSAND EXP FIRE #07 ONT",0,"S",2.1,0.95,1,0.3032916,0,599,1976-06-04,8.89823603,1.5,3,4,4.34,NA,85.6804,8.7,6,92.1,7.8,39,100,40,16,"Sharpsand IM (JP)",8.641688654,10,27,30,NA,40,7.55155914763141,"Con",NA
"22",45,"SHARPSAND EXP FIRE #18 ONT",0,"S",0.7,1.47,2,0.171864,0,309,1981-07-15,12.05525632,2,3,4,4.94,NA,117.7792,9.3,7,89.7,5.8,57,203,67,18,"Sharpsand IM (JP)",11.14852547,10,25,46,NA,40,5.17307410501611,"Con",NA
"23",48,"PNFI RP EXP FIRE (R3)",0,"S",6.1,1.05,2,0,0.2,1921,1963-06-25,8.071740577,2,3,4,7,NA,93,12,13,92.9,12.4,48,240,64,29,"PNFI (RP)",7.823622047,6,NA,NA,NA,23,12.0388335613301,"Con",NA
"24",49,"PNFI RP EXP FIRE (R4)",0,"S",1.5,0.98,1,0,0,441,1963-07-23,11.02331551,2,3,4,7,NA,101,12,11,91.1,8.9,39,362,61,23,"PNFI (RP)",9.676494024,6,NA,NA,NA,23,7.27079629786444,"Con",NA
"25",50,"PNFI RP EXP FIRE (R5)",0,"S",2,1.46,2,0,0,876,1963-08-27,14.68185,2,2,4,7,NA,108,12,6,88.5,4.8,21,400,38,11,"PNFI (RP)",12.43243243,6,NA,NA,NA,23,3.48771862475406,"Con",NA
"26",64,"DARWIN LAKE #4A",0,"S",2,1.54,2,0,0,924,1974-08-03,11.32873201,2,2,4,4.91,NA,118.2708,10.55,8.5,90.6,7.2,31,222,46,17,"Darwin Lk (JP)",10.19906729,2,29,40,NA,123,6.15113782968682,"Con",NA
"27",67,"DARWIN LAKE #7",0,"S",2,2.03,3,0,0,1218,1974-08-06,8.830161183,2,1,4,6.35,NA,120,14.17,8.5,90.9,7.5,43,246,60,34,"Darwin Lk (JP)",9.885106383,2,23,46,NA,123,8.64581493491666,"Con",NA
"28",68,"GL-A",0,"S",12,1.22,2,0,0,4800,1964-05-07,7.222682426,1,2,4,12,NA,100,20,23,92.4,19.22,54,102,54,36,"PNFI (JP)",8.333903884,6,27.2,25,NA,131,22.4014505810856,"Con",NA
"29",88,"PNFI RP EXP FIRE (R2)",0,"S",0.9,1.39,2,0,0,375,1962-07-06,12.29524904,2,3,4,7,NA,96,12,13,89.9,8.1,47,231,63,22,"PNFI (RP)",10.93654618,6,NA,NA,NA,23,6.77854676660179,"Con",NA
"30",89,"PNFI RP EXP FIRE (C2)",0,"S",1.2,1.35,2,0,0,486,1966-07-27,12.70984857,2,3,4,8,NA,101,15,11,89.5,7.1,50,388,76,22,"PNFI (RP)",11.36107383,6,NA,NA,NA,30,5.80010620824696,"Con",NA
"31",90,"DARWIN LAKE #1",0,"S",0.6,0.99,1,0,0,180,1974-07-23,12.68565189,2,1,4,5.89,NA,109.6952,12.76,6.3,88.7,4.9,15,143,24,9,"Darwin Lk (JP)",12.21700405,2,26.5,48,NA,100,4.59169892181449,"Con",NA
